text,topic
"El Día Mundial de la Población reafirma el derecho de la gente para planificar sus familias, lo que impulsa actividades, eventos y difusión de información que ayuden a hacer real este derecho,  principalmente para aquellos con mayor dificultad para acceder a la información y a los servicios necesarios para planificar sus familias, como la población marginal por los jóvenes.
",<200 https://es.wikipedia.org/wiki/D%C3%ADa_Mundial_de_la_Poblaci%C3%B3n>
"Que la población pueda planear sus familias implica que puedan planear su vida. Pueden programar vencer a la pobreza, mejorar la salud de las madres e hijos, lograr una mayor equidad de género, planear derrotar la muerte materna y sostener a la juventud.
",<200 https://es.wikipedia.org/wiki/D%C3%ADa_Mundial_de_la_Poblaci%C3%B3n>
"Más de 1.500 millones de personas tienen entre 10 y 25 años. Esta generación de adolescentes se aproxima a la adultez en un mundo que sus ancestros jamás pudieron imaginarse: Globalización, sida, comunicación electrónica y un cambio climático que ha modificado irrevocablemente el ambiente.
",<200 https://es.wikipedia.org/wiki/D%C3%ADa_Mundial_de_la_Poblaci%C3%B3n>
"El escenario es heterogéneo, en razón de que los jóvenes comparten ideas, valores, música y símbolos a través de los medios masivos de comunicación y de la tecnología electrónica, lo que ha ocasionado el surgimiento de una cultura juvenil global. Muchos están organizándose y comunicándose a través de vías formales e informales.
",<200 https://es.wikipedia.org/wiki/D%C3%ADa_Mundial_de_la_Poblaci%C3%B3n>
"Pero más de la mitad de los jóvenes vive en la pobreza con menos de dos dólares diarios. La mayoría de las veces carecen del acceso a las tecnologías y a la información. Muchos también enfrentan la desigualdad social, escuelas deficientes, discriminación de género, desempleo y sistemas de salud inadecuados. Esta situación se debe revertir, porque invertir en los jóvenes es invertir en los líderes futuros de las familias, comunidades y naciones del mundo.
",<200 https://es.wikipedia.org/wiki/D%C3%ADa_Mundial_de_la_Poblaci%C3%B3n>
"El Fondo de Población de las Naciones Unidas promueve y protege los derechos de los jóvenes, visionando un mundo en el cual los niños y las niñas tengan oportunidades óptimas para desarrollar plenamente su potencial, para expresarse libremente, para que sus opiniones sean respetadas y superen la pobreza, la discriminación y la violencia.
",<200 https://es.wikipedia.org/wiki/D%C3%ADa_Mundial_de_la_Poblaci%C3%B3n>
"El Fondo trabaja a través de diversos sectores y con varios socios para:
",<200 https://es.wikipedia.org/wiki/D%C3%ADa_Mundial_de_la_Poblaci%C3%B3n>
"Otorgar a los adolescentes y jóvenes las habilidades necesarias para lograr sus sueños, para pensar críticamente y expresarse con libertad. Promover la salud, lo que incluye permitirles el acceso a información de contenido sexual y reproductivo, educación, comodidades y servicios. Facilitar a los jóvenes el acceso a planes de vivienda y de empleo. Defender los derechos de los jóvenes, especialmente aquellos de las adolescentes y de los grupos marginales para que crezcan segura y saludablemente y sean objeto de inversiones sociales. Impulsar a los liderazgos juveniles y su participación en decisiones que les conciernan, incluyendo el desarrollo de sus sociedades.
",<200 https://es.wikipedia.org/wiki/D%C3%ADa_Mundial_de_la_Poblaci%C3%B3n>
"http://www.unfpa.or.cr/dia-mundial-de-la-poblacion-2012
",<200 https://es.wikipedia.org/wiki/D%C3%ADa_Mundial_de_la_Poblaci%C3%B3n>
"Artigas afirmaba en una carta a José de San Martín que la Unión de los Pueblos Libres se había anticipado en la declaración de la independencia argentina durante el Congreso de Oriente —celebrado el 29 de junio de 1815— suscrito por las provincias argentinas federales en la entonces pequeña ciudad de Concepción del Uruguay.[5]​[6]​[7]​ Algunos autores afirman que este congreso declaró la independencia de España basándose en una carta de Artigas a Juan Martín de Pueyrredón,[8]​ pero la carta no menciona al congreso ni da una fecha, refiriéndose solo a la Banda Oriental. Tampoco hay ningún otro documento que confirme o insinúe que tal declaración haya ocurrido. Esta fue una clara manifestación de protesta y oposición hacia las políticas centralistas o unitarias y pro monárquicas tanto del Directorio como del Congreso de las Provincias Unidas del Río de la Plata. 
",<200 https://es.wikipedia.org/wiki/Declaraci%C3%B3n_de_independencia_de_la_Argentina>
"El Director Supremo Carlos María de Alvear envió al Paraguay un emisario especial con la invitación para que envíe diputados. El dictador Francia detuvo al enviado en Pilar y no contestó a Alvear. Para que constara la posición del gobierno, se dirigió al Delegado de Pilar diciendo que la embajada era inoportuna, excusada y hasta insultante ""porque pretender que una república independiente envíe diputados a un Congreso de provincianos de otro gobierno que precisamente han de ser en mayor número es un absurdo y un despropósito de marca""[9]​. Ordenó a tal efecto que la goleta que trajo al embajador y los pliegos se despache de vuelta a Corrientes.
",<200 https://es.wikipedia.org/wiki/Declaraci%C3%B3n_de_independencia_de_la_Argentina>
"Tampoco enviaron diputados los actuales territorios del Gran Chaco, el Comahue y la Patagonia ya que se encontraban bajo el dominio indígena o casi deshabitados.
",<200 https://es.wikipedia.org/wiki/Declaraci%C3%B3n_de_independencia_de_la_Argentina>
"En una de sus primeras decisiones, el Congreso nombró Director Supremo de las Provincias Unidas del Río de la Plata a uno de sus diputados, el general Juan Martín de Pueyrredón.
",<200 https://es.wikipedia.org/wiki/Declaraci%C3%B3n_de_independencia_de_la_Argentina>
"Durante varias semanas se discutieron los alcances de sus atribuciones y su funcionamiento interno, además de tomar decisiones de política nacional e internacional. El cuerpo tenía la facultad de intervenir en casi todos los asuntos que se presentaban a su consideración, lo que provocó interminables debates.
",<200 https://es.wikipedia.org/wiki/Declaraci%C3%B3n_de_independencia_de_la_Argentina>
"La presión de algunos de sus miembros, y de influyentes dirigentes nacionales —entre ellos el general José de San Martín, gobernador de la Intendencia de Cuyo— hizo que se iniciara la discusión sobre la Declaración de Independencia.
",<200 https://es.wikipedia.org/wiki/Declaraci%C3%B3n_de_independencia_de_la_Argentina>
"Fondo de Población de las Naciones Unidas
",<200 https://es.wikipedia.org/wiki/D%C3%ADa_Mundial_de_la_Poblaci%C3%B3n>
"
",<200 https://es.wikipedia.org/wiki/D%C3%ADa_Mundial_de_la_Poblaci%C3%B3n>
"La votación finalmente se concretó el 9 de julio. En ese momento presidía el cuerpo uno de los representante de San Juan, Francisco Narciso de Laprida. Ningún país reconoció en ese momento la independencia de las Provincias Unidas del Río de la Plata.
",<200 https://es.wikipedia.org/wiki/Declaraci%C3%B3n_de_independencia_de_la_Argentina>
"El 21 de julio fue jurada la Independencia en la sala de sesiones por los miembros del Congreso, ante la presencia del gobernador, del general Manuel Belgrano, del clero secular, de las órdenes religiosas y demás corporaciones.[10]​
",<200 https://es.wikipedia.org/wiki/Declaraci%C3%B3n_de_independencia_de_la_Argentina>
"Las discusiones posteriores de los diputados giraron en torno al dictado de una constitución y a la forma de gobierno y a la forma de estado que debía adoptarse en ella. La situación de guerra abierta con la monarquía española, la Restauración absolutista en España y en Europa y la creciente injerencia del Reino Unido de Portugal, Brasil y Algarve hizo pensar a varios diputados, influenciados por las ideas de Manuel Belgrano, en instaurar una monarquía Inca en el Río de la Plata. Esta posición de implantar una forma de gobierno monárquica y constitucional fue descartada por los diputados republicanos, que sostenían la forma de gobierno de una república constitucional para la región del Plata. Al conflicto suscitado por la forma de gobierno se le sumó uno que tuvo mayor envergadura y trascendencia y que fue el relacionado con la adopción de la forma de estado: el unitarismo versus el federalismo.
",<200 https://es.wikipedia.org/wiki/Declaraci%C3%B3n_de_independencia_de_la_Argentina>
"Las labores del Congreso continuaron en Buenos Aires, donde comenzó a deliberar a principios de 1817, y donde sancionó la Constitución Argentina de 1819, que estableció una república centralista. El Congreso fue disuelto en 1820, tras la derrota del Directorio en la batalla de Cepeda, que marcó el inicio de la Anarquía del Año XX.
",<200 https://es.wikipedia.org/wiki/Declaraci%C3%B3n_de_independencia_de_la_Argentina>
"El acta de la Independencia fue declarada por el Congreso de las Provincias Unidas en Sudamérica.
",<200 https://es.wikipedia.org/wiki/Declaraci%C3%B3n_de_independencia_de_la_Argentina>
"En la benemérita y muy digna ciudad de San Miguel de Tucumán a nueve días del mes de julio de 1816: terminada la sesión ordinaria, el Congreso de las Provincias Unidas continuó sus anteriores discusiones sobre el grande, augusto y sagrado objeto de la independencia de los pueblos que lo forman. Era universal, constante y decidido el clamor del territorio por su emancipación solemne del poder despótico de los reyes de España, los representantes sin embargo consagraron a tan arduo asunto toda la profundidad de sus talentos, la rectitud de sus intenciones e interés que demanda la sanción de la suerte suya, pueblos representados y posteridad. A su término fueron preguntados ¿Si quieren que las provincias de la Unión fuese una nación libre e independiente de los reyes de España y su metrópoli? Aclamaron primeramente llenos de santo ardor de la justicia, y uno a uno reiteraron sucesivamente su unánime y espontáneo decidido voto por la independencia del país, fixando en su virtud la declaración siguiente:
",<200 https://es.wikipedia.org/wiki/Declaraci%C3%B3n_de_independencia_de_la_Argentina>
"El 19 de julio, en sesión secreta, el diputado Medrano hizo aprobar una modificación a la fórmula del juramento, con la intención de bloquear algunas opciones que se contemplaban en aquel momento por las que se pasaría a depender de alguna otra potencia distinta de España. Donde decía «independiente del rey Fernando VII, sus sucesores y metrópoli», se añadió: 
",<200 https://es.wikipedia.org/wiki/Declaraci%C3%B3n_de_independencia_de_la_Argentina>
"El acta original, firmada por todos los miembros del Congreso, fue redactada en el libro de Actas de las sesiones públicas de dicha asamblea. Ese libro se ha perdido. Algunos historiadores consideran que fue depositado en 1820 en la Legislatura de Buenos Aires, de donde posteriormente habría sido sustraído. En el Archivo General de la Nación Argentina se conserva una copia, realizada por el secretario Serrano a fines del mes de julio de 1816.[12]​
",<200 https://es.wikipedia.org/wiki/Declaraci%C3%B3n_de_independencia_de_la_Argentina>
"Las Bahamas, oficialmente la Mancomunidad de Las Bahamas (en inglés: Commonwealth of the Bahamas), es uno de los trece países que forman la América Insular o Islas del Caribe, uno de los treinta y cinco del continente americano. Su capital y ciudad más poblada es Nasáu, situada en la isla de New Providence.
",<200 https://es.wikipedia.org/wiki/Bahamas>
"Los 29 diputados del Congreso de Tucumán que suscribieron el acta de Independencia declarada por el Congreso de las Provincias Unidas en Sud América fueron:
",<200 https://es.wikipedia.org/wiki/Declaraci%C3%B3n_de_independencia_de_la_Argentina>
"En esa sesión no estuvieron presentes cinco diputados:
",<200 https://es.wikipedia.org/wiki/Declaraci%C3%B3n_de_independencia_de_la_Argentina>
"De los 29 diputados firmantes del acta de Declaración de la Independencia, 12 fueron miembros del clero de la Iglesia católica. Fue el caso de: Cayetano Rodríguez, Antonio Sáenz, Manuel Acevedo, José Colombres, Mariano Sánchez de Loria, José Andrés Pacheco de Melo, Pedro Ignacio de Castro Barros, Justo Santa María de Oro, Pedro Francisco de Uriarte, Pedro León Gallo, Pedro Miguel Aráoz y José Ignacio Thames.[13]​
",<200 https://es.wikipedia.org/wiki/Declaraci%C3%B3n_de_independencia_de_la_Argentina>
"El Día de la Independencia de la República Argentina se celebra cada 9 de julio. 
",<200 https://es.wikipedia.org/wiki/Declaraci%C3%B3n_de_independencia_de_la_Argentina>
"El 6 de julio de 1826, Bernardino Rivadavia, presidente de las Provincias Unidas del Río de la Plata, ordenó que el 9 de julio se conmemorase juntamente con el 25 de mayo pues consideraba que la repetición de estas fiestas irroga perjuicios de consideración al comercio e industria.
",<200 https://es.wikipedia.org/wiki/Declaraci%C3%B3n_de_independencia_de_la_Argentina>
"Pero Juan Manuel de Rosas, durante su segundo gobierno, y a punto de celebrar los 20 años de la Declaración de la Independencia, dispuso mediante un decreto promulgado el 11 de junio de 1835, que la celebración del 9 de julio debía hacerse con los mismos preceptos que el 25 de mayo.
",<200 https://es.wikipedia.org/wiki/Declaraci%C3%B3n_de_independencia_de_la_Argentina>
"Se reproducen aquí los artículos 1º y 2º del mencionado decreto:

",<200 https://es.wikipedia.org/wiki/Declaraci%C3%B3n_de_independencia_de_la_Argentina>
"
",<200 https://es.wikipedia.org/wiki/Declaraci%C3%B3n_de_independencia_de_la_Argentina>
"
Coordenadas: 26°50′00″S 65°12′12″O﻿ / ﻿-26.83333, -65.20333
",<200 https://es.wikipedia.org/wiki/Declaraci%C3%B3n_de_independencia_de_la_Argentina>
"Mongolia (en mongol: Монгол Улс en alfabeto cirílico, ᠮᠣᠩᠭ᠋ᠣᠯᠤᠯᠤᠰ en alfabeto mongol y Mongol Uls en alfabeto latino) es un país soberano, sin acceso al mar, situado entre las regiones de Asia Oriental y Asia Central. Limita con Rusia al norte y con China al sur. Su capital es Ulán Bator, en donde reside la mitad de la población total.
",<200 https://es.wikipedia.org/wiki/Mongolia>
"Palaos,[6]​ oficialmente República de Palaos (palauano: Beluu er a Belau, inglés: Republic of Palau, japonés: パラオ共和国 «Parao kyōwa-koku»), es un país insular, uno de los cuatro que forman Micronesia y uno de los catorce que conforman Oceanía. Su capital es Ngerulmud y su ciudad más poblada es Koror.
",<200 https://es.wikipedia.org/wiki/Palaos>
"Sudán del Sur, oficialmente República de Sudán del Sur[3]​ (en inglés, Republic of South Sudan) es un país soberano sin litoral [6]​ ubicado en África Oriental, con capital en la ciudad de Yuba.[7]​ Sudán del Sur limita con Sudán al norte, Etiopía al este, Kenia, Uganda y la República Democrática del Congo al sur y con la República Centroafricana al oeste.
",<200 https://es.wikipedia.org/wiki/Sud%C3%A1n_del_Sur>
"El Gran Premio de Estiria de 2020 es la segunda ronda de la temporada 2020 de Fórmula 1. Se disputa del 10 al 12 de julio en el Red Bull Ring, ubicado en Spielberg (Austria).[1]​
",<200 https://es.wikipedia.org/wiki/Anexo:Gran_Premio_de_Estiria_de_2020>
"Este evento no estaba en el calendario original de la F1. Debido a la pandemia de enfermedad por coronavirus, este calendario recibió grandes modificaciones, con muchas cancelaciones y atrasando el inicio de la temporada a los primeros días de julio con el GP de Austria en Spielberg. Inmediatamente después de este GP, se disputará la primera edición del GP de Estiria, también en Spielberg, marcando así la primera vez en la historia en que un mismo circuito recibe dos carreras de la Fórmula 1 en un mismo año. Llevará el nombre de Estiria, el estado austriaco en el que se encuentra el Red Bull Ring.[2]​[3]​
",<200 https://es.wikipedia.org/wiki/Anexo:Gran_Premio_de_Estiria_de_2020>
"El británico Jack Aitken ocupó el asiento de su compatriota George Russell en el equipo Williams durante la primera sesión de entrenamientos libres.[4]​ Por su parte, en Alfa Romeo, Robert Kubica sustituyó a Antonio Giovinazzi.[5]​
",<200 https://es.wikipedia.org/wiki/Anexo:Gran_Premio_de_Estiria_de_2020>
"Fuente: Fórmula 1.[7]​
",<200 https://es.wikipedia.org/wiki/Anexo:Gran_Premio_de_Estiria_de_2020>
"Fuente: Fórmula 1.[8]​
",<200 https://es.wikipedia.org/wiki/Anexo:Gran_Premio_de_Estiria_de_2020>
"
",<200 https://es.wikipedia.org/wiki/Anexo:Gran_Premio_de_Estiria_de_2020>
"Constituido por más de setecientas islas (de las cuales 24 están habitadas), cayos e islotes en el océano Atlántico, está ubicado al norte de Cuba, Haití y República Dominicana, noroeste de Islas Turcas y Caicos, al sureste del estado estadounidense de Florida y al este de los Cayos de la Florida. Geográficamente las islas Bahamas forman, junto con las Islas Turcas y Caicos, el archipiélago Lucayas, también denominado por extensión Bahamas. Por manifiesto de la Real Fuerza de Defensa de las Bahamas, el territorio de las Bahamas ocupa 180 000 millas cuadradas de espacio oceánico, si bien las medidas oficiales les aportarían mucho más espacio económico.
",<200 https://es.wikipedia.org/wiki/Bahamas>
"Originalmente habitadas por los lucayos, una rama de la etnia taína, las Bahamas fueron el sitio donde Cristóbal Colón llegó en su primer viaje al Nuevo Mundo en 1492 (isla de San Salvador). Luego fueron colonizadas por los españoles desde 1513 hasta 1648, cuando colonos ingleses procedentes de la isla de Bermudas se establecieron en la isla de Eleuthera.
",<200 https://es.wikipedia.org/wiki/Bahamas>
"Las Bahamas se convirtieron en una colonia de la corona británica en 1718, cuando los británicos prohibieron la piratería. Después de la Guerra de Independencia de Estados Unidos, miles de estadounidenses leales a la corona británica se asentaron en las islas junto con sus esclavos, lo que llevó a una economía basada en las plantaciones. Después de que Gran Bretaña prohibiera el comercio de esclavos en 1807, la Marina Real británica llevó muchos de los nuevos esclavos ilegales africanos a las Bahamas durante el siglo XIX. Cientos de esclavos escaparon de las islas hacia Florida, y cerca de 500 fueron liberados desde barcos mercantes estadounidenses. La esclavitud quedó abolida en las Bahamas en 1834. Aún hoy gran parte de la población es descendiente de estos esclavos liberados. Las Bahamas alcanzaron su independencia como Monarquía en la Mancomunidad de Naciones el 10 de julio de 1973.
",<200 https://es.wikipedia.org/wiki/Bahamas>
"En términos de renta per cápita, las Bahamas es uno de los países más ricos de América del Norte (por detrás de Estados Unidos y Canadá).[3]​
",<200 https://es.wikipedia.org/wiki/Bahamas>
"Esta nación tiene sus raíces en el antiguo Imperio mongol, que dominó gran parte de Asia durante el siglo XIII. Posteriormente perdió su independencia al ser asimilado por Manchuria, desde finales del siglo XVII hasta 1911, año en que recuperó brevemente su independencia, luego en 1919 las tropas chinas ocuparon su capital. En 1921, con la ayuda de la Unión Soviética, volvió a independizarse y tres años más tarde, en 1924, se proclama la República Popular de Mongolia, adoptando políticas comunistas y, de hecho, considerándose un estado satélite de la Unión Soviética.[5]​ Sin embargo, tras la disolución de la Unión Soviética en 1991, Mongolia aprueba en 1992 una constitución liberal que marca la transición a la democracia representativa y en la que el país cambia el nombre a Mongolia.
",<200 https://es.wikipedia.org/wiki/Mongolia>
"Es el decimonoveno país más grande, con 1 564 116 kilómetros cuadrados,[1]​ pero también el menos densamente poblado del mundo: el país está dominado por estepas y montañas al norte y oeste, y el desierto de Gobi al sur. De los 3,1 millones de habitantes, existe una alta tasa de nómadas y seminómadas, que ronda un 30%. Un 90% de los habitantes son de la etnia mongol, con una minoría de etnias túrquicas como el kazajo. El budismo tibetano es la religión mayoritaria del país, siendo junto con Bután las únicas naciones independientes donde esta religión es predominante.
",<200 https://es.wikipedia.org/wiki/Mongolia>
"Una gran cantidad de pueblos han habitado Mongolia desde épocas prehistóricas. La mayor parte eran nómadas que formaron de vez en cuando grandes confederaciones. Fueron reunidos para formar una confederación por Modun en 209 a. C. Derrotaron a los Donghu, que habían sido previamente la fuerza dominante en Mongolia oriental. Los Shanyu se convirtieron en la amenaza más grande para China durante los tres siglos siguientes; la Gran Muralla de China fue construida en parte como defensa contra los Shanyu. El mariscal Meng Tian del Imperio de Qin distribuyó a más de 300 000 soldados a lo largo de la gran muralla para prevenir una invasión del norte. El Janato Rouran (330-555), de origen Xianbei, controló un extenso imperio antes de ser derrotado por los Köktürks (555-745), cuyo imperio fue incluso mayor (sitiaron Panticapea, actual Kerch, en 576). Les sucedió el Janato Uigur (745-840), desplazado por los kirguises. Los mongoles kitán dominaron Mongolia durante la dinastía Liao (907-1125) hasta el ascenso del Jamag Mongol (1125-1206).
",<200 https://es.wikipedia.org/wiki/Mongolia>
"A principios del siglo XIII, el pueblo mongol se hallaba dividido en muchas tribus, con una intensa lucha interior por mantener su reinado y la dominación de una tribu sobre otra. Un destacado líder tribal, Temuujin (1167-1227), hijo de Esugey Baatar, sucede a su padre a los 13 años como jefe tribal. Apoyado en sus aptitudes como guerrero y sus dotes para ganarse fieles aliados y azuzado por la ira de ver saqueada su tribu a la muerte de su padre, supo disciplinar a su gente y unificar bajo su mando a todos los mongoles a los 25 años y lanzarse a la conquista de todo el Mundo a su alcance. En el año 1206 formó el Estado mongol y fue proclamado gran rey del Imperio mongol con el nombre de Gengis Kan.
",<200 https://es.wikipedia.org/wiki/Mongolia>
"Gengis Kan y sus sucesores más inmediatos conquistaron prácticamente la totalidad de Asia y la Rusia europea, enviando ejércitos incluso a sitios tan lejanos como la Europa Central o el sureste asiático. El nieto de Gengis Kan, Kublai Kan, quien conquistó China y fundó la dinastía Yuan (1279-1368), ganó una gran fama en Europa debido a los escritos de Marco Polo.
",<200 https://es.wikipedia.org/wiki/Mongolia>
"Aunque las confederaciones mongolas ejercían un gran poder político sobre los territorios conquistados, su fuerza declinó rápidamente después de que la dinastía mongola en China fuese derrocada en 1368.
",<200 https://es.wikipedia.org/wiki/Mongolia>
"Los manchúes, un grupo tribal que conquistó China en el año 1644 y formó la dinastía Qing, que ocupó el trono imperial en Pekín hasta 1911, consiguieron mantener bajo su control a Mongolia en 1691. Durante la dinastía Qing, cada región de Mongolia era administrada de distinto modo:
",<200 https://es.wikipedia.org/wiki/Mongolia>
"Mongolia Exterior: las cuatro Ligas (aymags) de los mongoles Khalkha de la Mongolia central y septentrional, así como las regiones de Tannu Uriankhai y Hovd en el noroeste, fueron supervisadas por el General de Uliastay en la ciudad de Uliastay. Equivale al actual Estado independiente de Mongolia, la región administrada por Rusia de Tannu Uriankhai y una parte del norte de Xinjiang.
",<200 https://es.wikipedia.org/wiki/Mongolia>
"Mongolia Interior: las banderas y tribus del sur de Mongolia formaban parte de seis Ligas (chuulghan): Jirim, Juu Uda, Josutu, Xilingol, Ulaan Chab y Yeke Juu. Equivalen a la mayor parte de Mongolia Interior y algunas áreas vecinas en las provincias de Liaoning y Jilin.
",<200 https://es.wikipedia.org/wiki/Mongolia>
"Mongolia Taoxi: las banderas de Alashan Oolud y Ejine Torghuud eran distintas de los aymags de Mongolia Exterior y de los chuulghans de Mongolia Interior. Equivale a la mayor parte del occidente de la actual Mongolia Interior.
",<200 https://es.wikipedia.org/wiki/Mongolia>
"Las ocho banderas Chaha estaban controladas por el comandante militar de Chahar (actual Zhangjiakou). Su extensión corresponde a las sureñas Ulaan Chab y Baynnur en la actual Mongolia Interior, más la región que rodea Zhangjiakou en la provincia de Hebei. Al mismo tiempo, la jurisdicción de algunos departamentos fronterizos de las provincias de Zhili y Shanxi también se solapan en esta región.
",<200 https://es.wikipedia.org/wiki/Mongolia>
"La bandera de Guihua Tümed estaba controlada por el comandante de Suiyuan (actual Hohhot). Se corresponde con las vecindades de la moderna ciudad de Hohhot. Al mismo tiempo, la jurisdicción de algunos departamentos fronterizos de la provincia de Shanxi también se solapan en esta región.
",<200 https://es.wikipedia.org/wiki/Mongolia>
"La región de Hulunbuir, en lo que ahora es el noreste de Mongolia Interior, era parte de la jurisdicción del General de Heilongjiang, uno de los tres que tenía Manchuria.
",<200 https://es.wikipedia.org/wiki/Mongolia>
"Está compuesto, aproximadamente, por trescientas cuarenta islas de origen volcánico y coralino en el mar de Filipinas. Ubicado en el extremo suroeste de Micronesia, limita al noreste con Islas Marianas del Norte, al este con Estados Federados de Micronesia, al sur con Indonesia y al oeste con Filipinas. Forma, junto con los Estados Federados de Micronesia, el archipiélago de las islas Carolinas.
",<200 https://es.wikipedia.org/wiki/Palaos>
"Entre las potencias coloniales que controlaron u ocuparon el archipiélago figuran los imperios español, alemán, japonés y los Estados Unidos. Se independizó de Estados Unidos en 1994[3]​ y es uno de los países más recientes y menos poblados del mundo, pues cuenta con alrededor de 20 000 habitantes.
",<200 https://es.wikipedia.org/wiki/Palaos>
